task_id,username,label,precis,recall,f_score,pnl,pnl_average,model_score
495,user-2601047,label_5,0.577175,0.253846,0.459993,23.4824,0.000586297,-0.0032980872935025026
495,user-2601047,label_10,0.54846,0.216805,0.419969,-8.66884,-0.000172772,-0.020885612404460758
495,user-2601047,label_20,0.417007,0.210713,0.348724,67.1056,0.00133764,-0.008717782075652403
495,user-2601047,label_40,0.332417,0.481789,0.354392,258.346,0.00126309,-0.03199465792739689
495,user-2601047,label_60,0.348132,0.436863,0.362872,326.18,0.00157061,-0.040638018297953264
498,user-2601049,label_5,0.763478,0.0510064,0.20125,9.83491,0.00161652,6.774509349070313e-05
498,user-2601049,label_10,0.777362,0.0359805,0.151798,12.2247,0.00208079,8.390180573980016e-07
498,user-2601049,label_20,0.663755,0.0489918,0.189121,19.6642,0.00268344,-0.00010471780329228089
498,user-2601049,label_40,0.605739,0.049808,0.187401,47.6916,0.00410993,-4.668216798168866e-05
498,user-2601049,label_60,0.615704,0.0358196,0.145288,45.568,0.00473287,-4.93117539005518e-05
509,user-2601020,label_5,0.34091,0.231061,0.311309,72.9066,0.00118119,-0.00019747014845138388
509,user-2601020,label_10,0.305987,0.348413,0.313624,167.808,0.00116107,-0.0025190040199849838
509,user-2601020,label_20,0.224268,0.157048,0.206582,120.117,0.00172771,-0.0029305232540549116
509,user-2601020,label_40,0.236127,0.22195,0.233148,125.942,0.000949439,-0.025672519079868908
509,user-2601020,label_60,0.231902,0.369447,0.250558,385.44,0.00146191,-0.02991246076593343
